dhs_name,nlss_name,first_component,one_weight,zero_weight
QH101_11 Source of drinking water: Piped into dwelling,main_water_PIPED INTO DWELLING,0.021093607,0.152902311,-0.002909892
QH101_12 Source of drinking water: Piped to yard/plot,main_water_PIPED INTO YARD/PLOT,0.006746111,0.058087611,-0.000783452
QH101_13 Source of drinking water: Piped to neighbor,main_water_PIPED TO NEIGHBOR,0.002227344,0.02970613,-0.000167
QH101_14 Source of drinking water: Public tap/standpipe,main_water_PUBLIC TAP/STANDPIPE,0.003982704,0.014177146,-0.00111881
QH101_21 Source of drinking water: Tube well or borehole,main_water_TUBE WELL/BOREHOLE,0.016229162,0.021574552,-0.012207864
QH101_31 Source of drinking water: Protected well,main_water_PROTECTED DUG WELL,-0.001477387,-0.004264502,0.000511811
QH101_32 Source of drinking water: Unprotected well,main_water_UNPROTECTED DUG WELL,-0.040290014,-0.100308272,0.016182565
QH101_41 Source of drinking water: Protected spring,main_water_PROTECTED SPRING,0.000771441,0.008503471,-6.99839E-05
QH101_42 Source of drinking water: Unprotected spring,main_water_UNPROTECTED SPRING,-0.01021001,-0.074210402,0.001404678
QH101_51 Source of drinking water: Rainwater,main_water_RAIN WATER COLLECTION,-0.000129954,-0.000788139,2.14271E-05
QH101_61 Source of drinking water: Tanker truck,main_water_TANKER TRUCK,0.006502508,0.074456168,-0.000567872
QH101_71 Source of drinking water: Cart with small tank,main_water_WITH SMALL TANK/DRUM,0.000888074,0.006739332,-0.000117023
QH101_81 Source of drinking water: Surface water (river/dam/lake/pond/stream/canal/irrigation channel),"main_water_SURFACE WATER (RIVER,STREAM, POND, DAMN,CANAL)",-0.028175796,-0.076274819,0.010407837
QH101_91 Source of drinking water: Bottled water,main_water_BOTTLED WATER,0.014635521,0.203510489,-0.001052492
QH101_92 Source of drinking water: Sachet water,main_water_SACHET WATER,0.039301986,0.135643417,-0.011387268
QH101_96 Source of drinking water: Other,main_water_OTHER(SPECIFY),0.0005678,0.015525263,-2.07655E-05
QH109_11 Type of toilet facility: Flush to piped sewer system,sanitation_type_FLUSH TO PIPED SEWAGE SYSTEM,0.024270692,0.141146139,-0.004173348
QH109_12 Type of toilet facility: Flush to septic tank,sanitation_type_FLUSH TO SEPTIC TANK,0.050319995,0.154237021,-0.016416546
QH109_13 Type of toilet facility: Flush to pit latrine,sanitation_type_FLUSH TO PIT LATRINE,0.017237698,0.088675083,-0.003350782
QH109_14 Type of toilet facility: Flush to somewhere else,sanitation_type_FLUSH TO SOMEWHERE ELSE,0.007745246,0.1039949,-0.00057683
"QH109_15 Type of toilet facility: Flush, don't know where",,0.001428691,0.082911268,-2.4618E-05
QH109_21 Type of toilet facility: Ventilated improved pit latrine,sanitation_type_VENTILIATED IMPROVED LATRINE,-0.002393834,-0.017446739,0.000328445
QH109_22 Type of toilet facility: Pit latrine with slab,sanitation_type_PIT LATRINE WITH SLAB,-0.003921427,-0.009765024,0.001574723
QH109_23 Type of toilet facility: Pit latrine without slab/open pit,sanitation_type_PIT LATRINE W/O SLAB/OPEN PIT,-0.036541027,-0.098735528,0.013523132
QH109_31 Type of toilet facility: Composting toilet,sanitation_type_COMPOSTING TOILET,-0.001636591,-0.064512532,4.15169E-05
QH109_41 Type of toilet facility: Bucket toilet,sanitation_type_BUCKET,0.00127742,0.037049763,-4.40424E-05
QH109_51 Type of toilet facility: Hanging toilet/hanging latrine,sanitation_type_HANGING TOILET/HANGING LATRINE,-0.003158239,-0.088862016,0.000112244
QH109_61 Type of toilet facility: No facility/bush/field,"sanitation_type_NO FACILITIES,BUSH, OR FIELD",-0.042555974,-0.068050794,0.026611977
QH109_96 Type of toilet facility: Other,sanitation_type_OTHER (SPECIFY),0.000240275,0.01007052,-5.73265E-06
QH109_11_sh Type of toilet facility: Flush to piped sewer system - shared,,0.0102206,0.110002421,-0.000949598
QH109_12_sh Type of toilet facility: Flush to septic tank - shared,,0.023494985,0.107500569,-0.005134863
QH109_13_sh Type of toilet facility: Flush to pit latrine - shared,,0.016488866,0.075124529,-0.003619004
QH109_14_sh Type of toilet facility: Flush to somewhere else - shared,,0.002919787,0.055394939,-0.000153894
QH109_21_sh Type of toilet facility: Ventilated improved pit latrine - shared,,0.006866273,0.059233962,-0.000795904
QH109_22_sh Type of toilet facility: Pit latrine with slab - shared,,0.007366652,0.022468009,-0.002415266
QH109_23_sh Type of toilet facility: Pit latrine without slab/open pit - shared,,-0.012852263,-0.058705075,0.002813668
QH109_31_sh Type of toilet facility: Composting toilet - shared,,-0.00011682,-0.005124188,2.66317E-06
QH109_41_sh Type of toilet facility: Bucket toilet - shared,,-0.000165489,-0.00678994,4.03333E-06
QH109_51_sh Type of toilet facility: Hanging toilet/hanging latrine - shared,,0.003643306,0.035860901,-0.000370134
QH113_1 Type of cooking fuel: Electricity,cookstovetype_ELECTRIC STOVE,0.009934491,0.117900958,-0.000837073
QH113_2 Type of cooking fuel: LPG,cookstovetype_LPG/NATURAL GAS STOVE,0.053566496,0.157800957,-0.018183023
QH113_3 Type of cooking fuel: Natural gas,cookstovetype_LPG/NATURAL GAS STOVE,0.017945668,0.190390095,-0.001691469
QH113_4 Type of cooking fuel: Biogas,,0.006771281,0.166189528,-0.000275884
